year,sex,n_all
1880,F,97604
1880,M,118399
1881,F,98855
1881,M,108276
1882,F,115694
1882,M,122031
1883,F,120061
1883,M,112475
1884,F,137585
1884,M,122738
1885,F,141947
1885,M,115945
1886,F,153734
1886,M,119040
1887,F,155422
1887,M,109311
1888,F,189445
1888,M,129907
1889,F,189218
1889,M,119032
1890,F,201663
1890,M,119700
1891,F,196567
1891,M,109265
1892,F,224913
1892,M,131452
1893,F,225232
1893,M,121041
1894,F,235972
1894,M,124892
1895,F,247105
1895,M,126641
1896,F,251993
1896,M,129070
1897,F,248275
1897,M,121942
1898,F,274146
1898,M,132099
1899,F,247489
1899,M,115194
1900,F,317738
1900,M,162123
1901,F,254229
1901,M,115592
1902,F,280330
1902,M,132750
1903,F,278195
1903,M,129321
1904,F,292435
1904,M,138503
1905,F,309862
1905,M,143232
1906,F,313434
1906,M,144066
1907,F,337432
1907,M,158584
1908,F,354530
1908,M,166366
1909,F,368094
1909,M,176863
1910,F,419526
1910,M,208516
1911,F,441817
1911,M,241395
1912,F,586715
1912,M,451457
1913,F,654913
1913,M,536247
1914,F,796627
1914,M,683319
1915,F,1023861
1915,M,880922
1916,F,1085717
1916,M,923242
1917,F,1123689
1917,M,959307
1918,F,1202356
1918,M,1048650
1919,F,1174635
1919,M,1015326
1920,F,1244032
1920,M,1100783
1921,F,1279718
1921,M,1137928
1922,F,1247576
1922,M,1125198
1923,F,1252461
1923,M,1132273
1924,F,1295674
1924,M,1169028
1925,F,1263079
1925,M,1151417
1926,F,1230174
1926,M,1145448
1927,F,1236439
1927,M,1161913
1928,F,1195539
1928,M,1141172
1929,F,1157559
1929,M,1107611
1930,F,1166459
1930,M,1129508
1931,F,1103725
1931,M,1069787
1932,F,1106302
1932,M,1074445
1933,F,1046041
1933,M,1020207
1934,F,1082348
1934,M,1061944
1935,F,1086781
1935,M,1069609
1936,F,1077556
1936,M,1064316
1937,F,1101865
1937,M,1093661
1938,F,1141451
1938,M,1136496
1939,F,1134080
1939,M,1133317
1940,F,1181353
1940,M,1186202
1941,F,1246013
1941,M,1254885
1942,F,1390492
1942,M,1408343
1943,F,1435400
1943,M,1454624
1944,F,1366531
1944,M,1389179
1945,F,1346120
1945,M,1371477
1946,F,1612919
1946,M,1650415
1947,F,1817886
1947,M,1857624
1948,F,1742689
1948,M,1782759
1949,F,1755523
1949,M,1802043
1950,F,1758529
1950,M,1818800
1951,F,1847286
1951,M,1911684
1952,F,1901996
1952,M,1973280
1953,F,1929501
1953,M,2002247
1954,F,1990851
1954,M,2069150
1955,F,2004919
1955,M,2090280
1956,F,2059527
1956,M,2146227
1957,F,2098150
1957,M,2188975
1958,F,2065656
1958,M,2154629
1959,F,2078922
1959,M,2167435
1960,F,2079752
1960,M,2165227
1961,F,2077241
1961,M,2157251
1962,F,2027039
1962,M,2102112
1963,F,1988080
1963,M,2064506
1964,F,1957392
1964,M,2027049
1965,F,1827483
1965,M,1894554
1966,F,1755816
1966,M,1817667
1967,F,1716888
1967,M,1779410
1968,F,1709723
1968,M,1775459
1969,F,1762777
1969,M,1829092
1970,F,1831904
1970,M,1904737
1971,F,1752647
1971,M,1817902
1972,F,1612596
1972,M,1673992
1973,F,1554131
1973,M,1613654
1974,F,1566268
1974,M,1630227
1975,F,1560912
1975,M,1622390
1976,F,1571901
1976,M,1632576
1977,F,1645037
1977,M,1709413
1978,F,1643933
1978,M,1708628
1979,F,1723300
1979,M,1791344
1980,F,1780659
1980,M,1854778
1981,F,1788557
1981,M,1862380
1982,F,1814326
1982,M,1887173
1983,F,1789707
1983,M,1863622
1984,F,1803375
1984,M,1876752
1985,F,1846392
1985,M,1924481
1986,F,1845563
1986,M,1921760
1987,F,1874260
1987,M,1950312
1988,F,1923178
1988,M,2002394
1989,F,1992224
1989,M,2096078
1990,F,2054480
1990,M,2152182
1991,F,2033491
1991,M,2119814
1992,F,2004732
1992,M,2099321
1993,F,1971587
1993,M,2065612
1994,F,1949449
1994,M,2038452
1995,F,1921592
1995,M,2011466
1996,F,1917301
1996,M,2003826
1997,F,1909295
1997,M,1997856
1998,F,1938570
1998,M,2027706
1999,F,1946860
1999,M,2039073
2000,F,1995803
2000,M,2088393
2001,F,1981011
2001,M,2068475
2002,F,1975117
2002,M,2066743
2003,F,2006589
2003,M,2101335
2004,F,2017951
2004,M,2113527
2005,F,2029711
2005,M,2127502
2006,F,2090691
2006,M,2192597
2007,F,2116707
2007,M,2215324
2008,F,2083160
2008,M,2180723
2009,F,2025406
2009,M,2121300
2010,F,1961009
2010,M,2054716
2011,F,1937998
2011,M,2031771
2012,F,1939883
2012,M,2029555
2013,F,1928128
2013,M,2021150
2014,F,1956802
2014,M,2049764
2015,F,1951460
2015,M,2044998
2016,F,1936463
2016,M,2026276
2017,F,1889921
2017,M,1979934
2018,F,1860579
2018,M,1944673
2019,F,1835984
2019,M,1922981
2020,F,1769095
2020,M,1851196
2021,F,1793216
2021,M,1875438
2022,F,1795358
2022,M,1875536
2023,F,1756348
2023,M,1838961
2024,F,1767447
2024,M,1845330
