year,sex,name,n,prop
1898,F,Louise,1693,0.00617554
1901,F,Marie,3157,0.01241794
1910,F,Ella,1587,0.00378284
1914,M,Herbert,3253,0.00476059
1922,M,Archie,1023,9.0917e-4
1923,F,Estelle,1191,9.5093e-4
1926,F,Eleanor,7305,0.00593818
1928,F,Daisy,1245,0.00104137
1929,F,Doris,16498,0.01425241
1930,F,Carmen,1044,8.9502e-4
1932,F,Sylvia,2568,0.00232125
1950,F,Wanda,6929,0.00394023
1953,M,Mike,2277,0.00113722
1954,M,Kerry,1662,8.0323e-4
1955,M,Jimmy,5037,0.00240973
1959,F,Delores,1376,6.6188e-4
1959,M,Edward,16916,0.00780462
1960,M,Mitchell,2971,0.00137214
1963,F,Sylvia,3281,0.00165034
1964,M,Peter,9908,0.00488789
1970,F,Marsha,1382,7.5441e-4
1972,F,Lynn,2251,0.0013958900000000001
1974,F,Cynthia,7558,0.00482548
1975,M,Barry,1481,9.1285e-4
1977,M,Tony,2939,0.0017193
1978,F,Charity,1067,6.4905e-4
1979,M,Jeffrey,16867,0.00941584
1982,F,Kimberly,16101,0.00887437
1988,F,Karina,1288,6.6972e-4
1990,F,Allison,7134,0.00347241
1992,F,Sophia,1355,6.759e-4
1994,M,Cameron,6838,0.00335451
1995,M,Dakota,6575,0.00326876
1997,M,Gavin,2757,0.00137998
2000,M,Jonah,1833,8.7771e-4
2001,F,Melissa,4145,0.00209237
2001,M,Kenneth,3907,0.00188883
2003,F,Macy,1483,7.3907e-4
2004,F,Anna,9529,0.00472212
2004,M,Donovan,2055,9.7231e-4
2007,F,Leilani,1188,5.6125e-4
2008,F,Cynthia,1076,5.1652e-4
2009,F,Alicia,1561,7.7071e-4
2009,M,Christopher,16367,0.00771555
2014,F,Nyla,1085,5.5448e-4
2014,M,Dominic,6263,0.00305547
2017,M,Iker,1286,6.4952e-4
2018,F,Madison,7099,0.00381548
2020,M,Gael,3262,0.0017621
2021,F,Delilah,3759,0.00209623
2022,F,Mya,1060,5.9041e-4
2023,F,Kiara,1304,7.4245e-4
